cell_id,cell_lat,cell_lon,city,sector_main,entity_count_real,entity_count_total,density_log,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,zone_name,district,region_name,display_name
2458_-482,33.2293229,-8.4993567,El Jadida,Real Estate,8,8,2.19722457733622,0.5,100000.0,133333.33333333334,300000.0,0.7255609756707548,0.0,0,0,31.27,Faible,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2458_-482,33.2293229,-8.4993567,El Jadida,Tourism & Hospitality,28,28,3.367295829986474,0.5,100000.0,185416.66666666663,400000.0,0.7255609756707548,0.0,0,0,42.73,Faible,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-482,33.2333333,-8.5,El Jadida,Commerce,9,9,2.302585092994046,0.3333333333333333,100000.0,113333.33333333331,400000.0,0.7804094687934459,0.1111111111111111,1,0,25.45,Faible,Résidence Al Kadissia,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Résidence Al Kadissia - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-482,33.2333333,-8.5,El Jadida,Construction,33,33,3.5263605246161616,0.5151515151515151,100000.0,239354.83870967745,1600000.0,0.7804094687934459,0.0,0,0,46.05,Faible,Résidence Al Kadissia,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Résidence Al Kadissia - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-482,33.2333333,-8.5,El Jadida,Information Technology,16,16,2.833213344056216,0.375,100000.0,199000.0,1635000.0,0.7804094687934459,0.0,0,0,31.87,Faible,Résidence Al Kadissia,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Résidence Al Kadissia - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-482,33.2333333,-8.5,El Jadida,Other,10,10,2.3978952727983707,1.0,100000.0,95555.55555555556,200000.0,0.7804094687934459,0.0,0,0,60.59,Moyen,Résidence Al Kadissia,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Résidence Al Kadissia - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-482,33.2333333,-8.5,El Jadida,Real Estate,3,3,1.3862943611198906,1.0,55000.0,55000.0,100000.0,0.7804094687934459,0.0,0,0,50.52,Faible,Résidence Al Kadissia,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Résidence Al Kadissia - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-482,33.2333333,-8.5,El Jadida,Transport,6,6,1.9459101490553128,0.3333333333333333,100000.0,82000.0,100000.0,0.7804094687934459,0.0,0,0,20.98,Faible,Résidence Al Kadissia,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Résidence Al Kadissia - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-483,33.2387205,-8.5173614,El Jadida,Commerce,3,3,1.3862943611198906,1.0,100000.0,304074.0740740741,2500000.0,0.8002951103287606,0.0,0,0,51.03,Faible,Lot. Melk Hazmi 2,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Lot. Melk Hazmi 2 - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-483,33.2387205,-8.5173614,El Jadida,Healthcare,14,14,2.70805020110221,0.5,100000.0,216569.2307692308,1000000.0,0.8002951103287606,0.0,0,0,37.59,Faible,Lot. Melk Hazmi 2,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Lot. Melk Hazmi 2 - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2459_-483,33.2387205,-8.5173614,El Jadida,Other,5,5,1.791759469228055,0.5,100000.0,244583.3333333333,1500000.0,0.8002951103287606,0.0,0,0,28.62,Faible,Lot. Melk Hazmi 2,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Lot. Melk Hazmi 2 - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
