cell_id,cell_lat,cell_lon,city,entity_count_real,entity_count_total,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,n_sectors_present,dominant_sector,density_log,cluster_label
2485_-429,33.586466,-7.560805,Casablanca,279,279,0.8438651691745407,100000.0,263255.6542586512,6000000.0,0.8510624055659395,0.18348755284607207,58,7,65.61875,Fort,8,Commerce,5.634789603169249,2
2485_-430,33.58662,-7.57977,Casablanca,366,366,0.9245076541815672,100000.0,519578.5042980009,36500000.0,0.7563650957896699,0.21568595401547347,79,18,65.337,Fort,10,Commerce,5.905361848054571,2
2485_-431,33.5910789,-7.60025,Casablanca,1213,1213,0.9144398320275262,100000.0,1317214.6384103782,1200000000.0,0.7627433947814274,0.27216439033216905,245,118,73.09916666666668,Fort,12,Commerce,7.101675971619444,2
2485_-432,33.58694440000001,-7.611111100000016,Casablanca,7450,11815,0.6216481765481278,100000.0,352912136.84203374,79869911040.0,0.8626460524712267,0.15519684087572408,1040,565,74.71769230769232,Fort,13,Commerce,8.916103530553727,2
2485_-433,33.588317,-7.633046500000001,Casablanca,1940,1940,0.8675206494888825,100000.0,1396632.1780601642,500000000.0,0.8483804023760448,0.21130334729159694,362,114,76.95076923076923,Fort,13,Commerce,7.57095858316901,2
2485_-434,33.5897,-7.64513,Casablanca,394,394,0.824150386795815,100000.0,1383353.9049813913,500000000.0,0.8413415060343685,0.2764372514086473,68,35,62.4975,Fort,12,Commerce,5.978885764901122,2
2485_-435,33.5873,-7.666085,Casablanca,31,31,0.8928571428571429,100000.0,2151543.6507936507,49387000.0,0.9198434457432304,0.4246031746031746,11,3,55.495000000000005,Moyen,6,Information Technology,3.4657359027997265,1
2485_-436,33.5927127,-7.6775669,Casablanca,5,5,1.0,100000.0,100000.0,100000.0,0.8730017623570717,0.0,0,0,56.28,Moyen,1,Tourism & Hospitality,1.791759469228055,1
2486_-421,33.6016630752,-7.42753633951,Casablanca,5,5,1.0,30000.0,52000.0,100000.0,0.6500224216483541,0.0,0,0,52.11,Faible,1,Construction,1.791759469228055,1
2486_-424,33.599474,-7.469188,Casablanca,3,3,1.0,100000.0,100000.0,100000.0,0.0,0.0,0,0,36.95,Faible,1,Information Technology,1.3862943611198906,1
2486_-425,33.6003574967,-7.48430972711,Casablanca,19,19,0.9743589743589745,100000.0,295811.9658119658,5200000.0,0.748385492113419,0.16239316239316237,3,0,54.29333333333333,Faible,3,Construction,2.995732273553991,1
2486_-426,33.605108,-7.51404167045,Casablanca,89,89,0.9261363636363636,100000.0,415854.2735042735,10000000.0,0.8439363407735847,0.17840755735492575,14,3,58.8125,Moyen,8,Commerce,4.499809670330265,2
